OrderID,LineNumber,ProductID,Quantity,UnitPrice,LineNetAmount
ORD-2026-004746,1,PROD-039,2,8.17,15.76
ORD-2026-004746,2,PROD-004,1,20.28,19.66
ORD-2026-004747,1,PROD-034,1,9.01,5.91
ORD-2026-004748,1,PROD-027,1,21.13,19.59
ORD-2026-004748,2,PROD-034,2,9.01,16.13
ORD-2026-004748,3,PROD-010,1,38.03,32.09
ORD-2026-004749,1,PROD-050,1,61.97,60.96
ORD-2026-004750,1,PROD-005,3,20.28,55.36
ORD-2026-004751,1,PROD-053,1,53.52,34.49
ORD-2026-004751,2,PROD-004,1,20.28,9.13
ORD-2026-004752,1,PROD-051,1,36.06,31.26
ORD-2026-004753,1,PROD-010,2,38.03,57.72
ORD-2026-004753,2,PROD-034,3,9.01,18.89
ORD-2026-004754,1,PROD-041,1,11.83,10.96
ORD-2026-004755,1,PROD-011,2,14.9,13.41
ORD-2026-004755,2,PROD-036,1,11.55,6.75
ORD-2026-004756,1,PROD-002,3,11.9,28.72
ORD-2026-004756,2,PROD-041,1,11.83,11.04
ORD-2026-004757,1,PROD-032,1,19.72,18.79
ORD-2026-004758,1,PROD-006,1,32.39,31.54
ORD-2026-004759,1,PROD-039,2,8.17,15.71
ORD-2026-004759,2,PROD-034,2,9.01,12.96
ORD-2026-004760,1,PROD-002,1,11.9,11.54
ORD-2026-004760,2,PROD-041,1,11.83,11.23
ORD-2026-004760,3,PROD-036,1,11.55,11.06
ORD-2026-004761,1,PROD-013,1,11.9,10.01
ORD-2026-004761,2,PROD-011,1,14.9,13.23
ORD-2026-004762,1,PROD-003,1,14.37,10.1
ORD-2026-004762,2,PROD-042,1,73.24,51.47
ORD-2026-004762,3,PROD-013,1,11.9,9.1
ORD-2026-004763,1,PROD-044,1,40.85,39.11
ORD-2026-004763,2,PROD-034,1,9.01,8.66
ORD-2026-004764,1,PROD-045,1,72.68,53.58
ORD-2026-004764,2,PROD-032,3,19.72,26.62
ORD-2026-004765,1,PROD-005,2,20.28,39.3
ORD-2026-004766,1,PROD-003,1,14.37,14.0
ORD-2026-004767,1,PROD-022,1,9.01,6.59
ORD-2026-004768,1,PROD-004,1,20.28,18.62
ORD-2026-004769,1,PROD-036,3,11.55,28.16
ORD-2026-004770,1,PROD-005,1,20.28,20.0
ORD-2026-004770,2,PROD-053,1,53.52,48.13
ORD-2026-004771,1,PROD-027,2,21.13,19.02
ORD-2026-004772,1,PROD-030,2,49.3,79.04
ORD-2026-004773,1,PROD-004,1,20.28,17.46
ORD-2026-004774,1,PROD-004,1,20.28,17.71
ORD-2026-004775,1,PROD-054,1,59.15,54.38
ORD-2026-004775,2,PROD-036,2,11.55,21.07
ORD-2026-004776,1,PROD-034,1,9.01,8.88
ORD-2026-004777,1,PROD-035,2,10.14,18.9
ORD-2026-004777,2,PROD-028,1,17.18,15.93
ORD-2026-004778,1,PROD-059,1,52.11,47.82
ORD-2026-004779,1,PROD-024,1,8.73,7.79
ORD-2026-004780,1,PROD-012,1,18.5,12.46
ORD-2026-004780,2,PROD-033,2,52.11,92.89
ORD-2026-004781,1,PROD-054,1,59.15,51.59
ORD-2026-004782,1,PROD-041,2,11.83,20.97
ORD-2026-004782,2,PROD-035,1,10.14,8.35
ORD-2026-004782,3,PROD-003,2,14.37,26.03
ORD-2026-004782,4,PROD-012,1,18.5,18.22
ORD-2026-004783,1,PROD-004,1,20.28,19.49
ORD-2026-004783,2,PROD-002,2,11.9,23.67
ORD-2026-004783,3,PROD-059,1,52.11,43.44
ORD-2026-004784,1,PROD-049,1,80.28,53.91
ORD-2026-004785,1,PROD-005,1,20.28,18.73
ORD-2026-004786,1,PROD-039,4,8.17,28.31
ORD-2026-004787,1,PROD-040,2,15.21,22.16
ORD-2026-004788,1,PROD-042,1,73.24,71.79
ORD-2026-004789,1,PROD-033,2,52.11,99.69
ORD-2026-004789,2,PROD-032,1,19.72,19.09
ORD-2026-004789,3,PROD-026,2,14.65,26.79
ORD-2026-004790,1,PROD-039,1,8.17,4.85
ORD-2026-004790,2,PROD-024,2,8.73,7.86
ORD-2026-004791,1,PROD-037,4,9.86,31.99
ORD-2026-004791,2,PROD-029,1,24.79,15.77
ORD-2026-004792,1,PROD-037,1,9.86,9.18
ORD-2026-004792,2,PROD-006,3,32.39,94.81
ORD-2026-004793,1,PROD-034,3,9.01,18.17
ORD-2026-004793,2,PROD-015,1,26.76,21.15
ORD-2026-004794,1,PROD-001,3,12.9,33.63
ORD-2026-004795,1,PROD-052,1,46.48,35.26
ORD-2026-004796,1,PROD-015,2,26.76,51.43
ORD-2026-004797,1,PROD-028,2,17.18,15.46
ORD-2026-004797,2,PROD-059,1,52.11,27.07
ORD-2026-004798,1,PROD-001,1,12.9,9.59
ORD-2026-004799,1,PROD-003,3,14.37,40.6
ORD-2026-004799,2,PROD-030,1,49.3,44.05
ORD-2026-004800,1,PROD-028,1,17.18,8.41
ORD-2026-004800,2,PROD-055,1,74.65,42.19
ORD-2026-004801,1,PROD-028,2,17.18,24.44
ORD-2026-004802,1,PROD-001,1,12.9,9.11
ORD-2026-004803,1,PROD-024,2,8.73,9.88
ORD-2026-004803,2,PROD-028,1,17.18,8.68
ORD-2026-004804,1,PROD-035,1,10.14,9.88
ORD-2026-004805,1,PROD-036,4,11.55,31.12
ORD-2026-004806,1,PROD-001,1,12.9,8.61
ORD-2026-004807,1,PROD-050,1,61.97,56.51
ORD-2026-004807,2,PROD-015,1,26.76,25.99
ORD-2026-004808,1,PROD-024,1,8.73,5.84
ORD-2026-004809,1,PROD-045,1,72.68,38.48
ORD-2026-004810,1,PROD-015,2,26.76,24.08
ORD-2026-004811,1,PROD-002,2,11.9,12.93
ORD-2026-004812,1,PROD-002,1,11.9,11.34
ORD-2026-004813,1,PROD-021,1,15.49,11.61
ORD-2026-004813,2,PROD-010,2,38.03,34.23
ORD-2026-004813,3,PROD-020,1,10.14,9.72
ORD-2026-004814,1,PROD-005,1,20.28,16.39
ORD-2026-004815,1,PROD-059,1,52.11,48.77
ORD-2026-004815,2,PROD-038,2,7.89,14.55
ORD-2026-004816,1,PROD-034,2,9.01,13.77
ORD-2026-004816,2,PROD-055,1,74.65,46.81
ORD-2026-004817,1,PROD-014,1,9.9,9.25
ORD-2026-004817,2,PROD-028,1,17.18,12.03
ORD-2026-004817,3,PROD-038,3,7.89,19.11
ORD-2026-004818,1,PROD-003,2,14.37,17.84
ORD-2026-004819,1,PROD-016,1,8.9,6.49
ORD-2026-004820,1,PROD-004,1,20.28,9.13
ORD-2026-004821,1,PROD-005,1,20.28,18.96
ORD-2026-004822,1,PROD-008,1,9.9,9.38
ORD-2026-004823,1,PROD-029,1,24.79,11.16
ORD-2026-004823,2,PROD-007,1,17.18,16.31
ORD-2026-004824,1,PROD-001,1,12.9,6.0
ORD-2026-004825,1,PROD-038,2,7.89,12.79
ORD-2026-004826,1,PROD-048,1,55.77,52.18
ORD-2026-004827,1,PROD-059,1,52.11,23.45
ORD-2026-004828,1,PROD-042,1,73.24,52.32
ORD-2026-004829,1,PROD-059,1,52.11,48.45
ORD-2026-004829,2,PROD-007,1,17.18,14.8
ORD-2026-004829,3,PROD-015,1,26.76,25.88
ORD-2026-004830,1,PROD-017,2,12.5,14.19
ORD-2026-004831,1,PROD-027,1,21.13,15.12
ORD-2026-004831,2,PROD-030,1,49.3,40.41
ORD-2026-004832,1,PROD-050,1,61.97,45.1
ORD-2026-004833,1,PROD-002,3,11.9,30.31
ORD-2026-004834,1,PROD-020,2,10.14,14.59
ORD-2026-004835,1,PROD-027,2,21.13,28.87
ORD-2026-004836,1,PROD-027,1,21.13,19.73
ORD-2026-004836,2,PROD-054,1,59.15,37.63
ORD-2026-004837,1,PROD-010,1,38.03,33.15
ORD-2026-004838,1,PROD-021,1,15.49,14.69
ORD-2026-004838,2,PROD-025,2,21.97,40.68
ORD-2026-004839,1,PROD-006,2,32.39,50.19
ORD-2026-004840,1,PROD-004,1,20.28,18.12
ORD-2026-004841,1,PROD-034,1,9.01,6.11
ORD-2026-004842,1,PROD-027,2,21.13,32.33
ORD-2026-004843,1,PROD-040,1,15.21,6.87
ORD-2026-004843,2,PROD-035,3,10.14,21.31
ORD-2026-004844,1,PROD-001,1,12.9,11.46
ORD-2026-004845,1,PROD-012,1,18.5,14.27
ORD-2026-004846,1,PROD-004,2,20.28,27.19
ORD-2026-004847,1,PROD-005,2,20.28,39.54
ORD-2026-004848,1,PROD-017,1,12.5,6.77
ORD-2026-004849,1,PROD-014,1,9.9,4.85
ORD-2026-004850,1,PROD-042,1,73.24,56.36
ORD-2026-004850,2,PROD-015,2,26.76,34.83
ORD-2026-004851,1,PROD-028,1,17.18,13.45
ORD-2026-004852,1,PROD-019,1,29.58,26.45
ORD-2026-004853,1,PROD-005,2,20.28,37.87
ORD-2026-004854,1,PROD-006,2,32.39,63.41
ORD-2026-004855,1,PROD-026,1,14.65,7.58
ORD-2026-004856,1,PROD-004,1,20.28,19.03
ORD-2026-004856,2,PROD-005,1,20.28,19.9
ORD-2026-004857,1,PROD-052,1,46.48,44.12
ORD-2026-004857,2,PROD-006,1,32.39,14.58
ORD-2026-004858,1,PROD-058,1,39.44,18.95
ORD-2026-004859,1,PROD-021,2,15.49,13.94
ORD-2026-004859,2,PROD-004,1,20.28,17.56
ORD-2026-004860,1,PROD-032,1,19.72,19.08
ORD-2026-004860,2,PROD-002,3,11.9,35.49
ORD-2026-004860,3,PROD-017,2,12.5,24.65
ORD-2026-004861,1,PROD-004,1,20.28,18.11
ORD-2026-004861,2,PROD-034,2,9.01,15.38
ORD-2026-004861,3,PROD-001,1,12.9,11.09
ORD-2026-004862,1,PROD-034,1,9.01,5.61
ORD-2026-004862,2,PROD-010,2,38.03,66.07
ORD-2026-004863,1,PROD-059,1,52.11,36.64
ORD-2026-004864,1,PROD-007,1,17.18,16.94
ORD-2026-004864,2,PROD-041,1,11.83,11.47
ORD-2026-004864,3,PROD-012,1,18.5,17.95
ORD-2026-004865,1,PROD-010,1,38.03,35.9
ORD-2026-004866,1,PROD-050,1,61.97,27.89
ORD-2026-004867,1,PROD-025,1,21.97,15.04
ORD-2026-004867,2,PROD-048,1,55.77,53.68
ORD-2026-004868,1,PROD-004,1,20.28,18.76
ORD-2026-004869,1,PROD-037,2,9.86,8.87
ORD-2026-004870,1,PROD-037,2,9.86,10.04
ORD-2026-004870,2,PROD-040,1,15.21,12.34
ORD-2026-004871,1,PROD-040,4,15.21,32.35
ORD-2026-004871,2,PROD-010,1,38.03,22.76
ORD-2026-004872,1,PROD-005,1,20.28,18.45
ORD-2026-004872,2,PROD-035,1,10.14,9.55
ORD-2026-004873,1,PROD-028,1,17.18,10.44
ORD-2026-004874,1,PROD-017,2,12.5,15.77
ORD-2026-004874,2,PROD-029,1,24.79,17.32
ORD-2026-004875,1,PROD-035,1,10.14,7.48
ORD-2026-004875,2,PROD-036,3,11.55,26.37
ORD-2026-004876,1,PROD-027,2,21.13,33.41
ORD-2026-004877,1,PROD-004,2,20.28,38.67
ORD-2026-004878,1,PROD-016,2,8.9,14.8
ORD-2026-004879,1,PROD-048,1,55.77,29.65
ORD-2026-004880,1,PROD-001,1,12.9,11.26
ORD-2026-004880,2,PROD-039,1,8.17,7.34
ORD-2026-004880,3,PROD-002,1,11.9,8.84
ORD-2026-004880,4,PROD-024,1,8.73,5.66
ORD-2026-004881,1,PROD-059,1,52.11,26.6
ORD-2026-004882,1,PROD-041,2,11.83,22.82
ORD-2026-004882,2,PROD-001,2,12.9,24.64
ORD-2026-004883,1,PROD-006,1,32.39,32.14
ORD-2026-004884,1,PROD-005,1,20.28,18.98
ORD-2026-004884,2,PROD-003,1,14.37,13.53
ORD-2026-004885,1,PROD-001,1,12.9,10.79
ORD-2026-004886,1,PROD-028,1,17.18,16.58
ORD-2026-004887,1,PROD-004,2,20.28,37.43
ORD-2026-004888,1,PROD-002,2,11.9,15.11
ORD-2026-004889,1,PROD-026,1,14.65,13.89
ORD-2026-004889,2,PROD-032,1,19.72,19.17
ORD-2026-004890,1,PROD-005,2,20.28,38.41
ORD-2026-004890,2,PROD-035,1,10.14,9.12
ORD-2026-004891,1,PROD-059,1,52.11,33.78
ORD-2026-004892,1,PROD-017,1,12.5,11.91
ORD-2026-004893,1,PROD-005,1,20.28,14.66
ORD-2026-004893,2,PROD-021,1,15.49,11.86
ORD-2026-004893,3,PROD-001,1,12.9,9.7
ORD-2026-004894,1,PROD-027,2,21.13,23.53
ORD-2026-004894,2,PROD-001,1,12.9,11.49
ORD-2026-004895,1,PROD-049,1,80.28,68.17
ORD-2026-004896,1,PROD-014,1,9.9,9.47
ORD-2026-004897,1,PROD-048,1,55.77,52.92
ORD-2026-004898,1,PROD-002,1,11.9,5.35
ORD-2026-004899,1,PROD-024,1,8.73,7.59
ORD-2026-004900,1,PROD-022,2,9.01,17.39
ORD-2026-004901,1,PROD-004,2,20.28,36.12
ORD-2026-004902,1,PROD-051,1,36.06,33.38
ORD-2026-004903,1,PROD-002,3,11.9,16.99
ORD-2026-004904,1,PROD-004,1,20.28,19.18
ORD-2026-004904,2,PROD-041,1,11.83,10.79
ORD-2026-004904,3,PROD-010,1,38.03,33.68
ORD-2026-004905,1,PROD-016,1,8.9,6.77
ORD-2026-004905,2,PROD-044,1,40.85,34.88
ORD-2026-004905,3,PROD-005,2,20.28,37.17
ORD-2026-004906,1,PROD-035,2,10.14,10.05
ORD-2026-004907,1,PROD-047,1,108.45,95.57
ORD-2026-004907,2,PROD-004,2,20.28,18.25
ORD-2026-004908,1,PROD-016,2,8.9,16.86
ORD-2026-004909,1,PROD-034,2,9.01,15.47
ORD-2026-004909,2,PROD-049,1,80.28,45.03
ORD-2026-004910,1,PROD-035,1,10.14,5.72
ORD-2026-004911,1,PROD-001,2,12.9,24.67
ORD-2026-004911,2,PROD-040,1,15.21,14.34
ORD-2026-004912,1,PROD-002,2,11.9,21.65
ORD-2026-004912,2,PROD-054,1,59.15,53.11
ORD-2026-004913,1,PROD-022,1,9.01,8.22
ORD-2026-004914,1,PROD-034,4,9.01,16.78
ORD-2026-004914,2,PROD-053,1,53.52,43.06
ORD-2026-004915,1,PROD-022,1,9.01,8.23
ORD-2026-004915,2,PROD-048,1,55.77,45.87
ORD-2026-004915,3,PROD-028,1,17.18,15.48
ORD-2026-004915,4,PROD-059,1,52.11,43.42
ORD-2026-004916,1,PROD-005,2,20.28,39.98
ORD-2026-004916,2,PROD-004,2,20.28,39.0
ORD-2026-004917,1,PROD-035,2,10.14,9.13
ORD-2026-004918,1,PROD-059,1,52.11,50.49
ORD-2026-004919,1,PROD-022,1,9.01,7.31
ORD-2026-004920,1,PROD-005,1,20.28,17.63
ORD-2026-004921,1,PROD-020,2,10.14,18.06
ORD-2026-004921,2,PROD-028,2,17.18,25.67
ORD-2026-004921,3,PROD-021,1,15.49,12.18
ORD-2026-004922,1,PROD-040,1,15.21,14.71
ORD-2026-004923,1,PROD-002,1,11.9,5.55
ORD-2026-004923,2,PROD-032,2,19.72,29.73
ORD-2026-004924,1,PROD-040,2,15.21,29.89
ORD-2026-004925,1,PROD-015,1,26.76,13.17
ORD-2026-004925,2,PROD-054,1,59.15,53.58
ORD-2026-004926,1,PROD-029,1,24.79,23.06
ORD-2026-004927,1,PROD-023,1,7.89,7.67
ORD-2026-004928,1,PROD-034,2,9.01,12.16
ORD-2026-004928,2,PROD-020,2,10.14,11.09
ORD-2026-004929,1,PROD-005,2,20.28,29.28
ORD-2026-004929,2,PROD-021,1,15.49,12.48
ORD-2026-004929,3,PROD-023,1,7.89,7.14
ORD-2026-004930,1,PROD-003,1,14.37,14.03
ORD-2026-004930,2,PROD-021,1,15.49,15.11
ORD-2026-004931,1,PROD-040,4,15.21,48.79
ORD-2026-004931,2,PROD-002,1,11.9,8.29
ORD-2026-004932,1,PROD-005,1,20.28,15.62
ORD-2026-004932,2,PROD-024,1,8.73,6.16
ORD-2026-004932,3,PROD-039,1,8.17,6.1
ORD-2026-004933,1,PROD-003,1,14.37,10.2
ORD-2026-004934,1,PROD-003,1,14.37,13.49
ORD-2026-004935,1,PROD-039,2,8.17,16.0
ORD-2026-004935,2,PROD-005,2,20.28,38.93
ORD-2026-004936,1,PROD-003,1,14.37,13.03
ORD-2026-004936,2,PROD-004,1,20.28,14.95
ORD-2026-004937,1,PROD-007,1,17.18,16.39
ORD-2026-004938,1,PROD-036,1,11.55,11.28
ORD-2026-004939,1,PROD-016,2,8.9,8.01
ORD-2026-004939,2,PROD-007,1,17.18,14.53
ORD-2026-004940,1,PROD-054,1,59.15,57.87
ORD-2026-004941,1,PROD-024,1,8.73,3.93
ORD-2026-004942,1,PROD-004,1,20.28,19.75
ORD-2026-004943,1,PROD-005,2,20.28,33.46
ORD-2026-004944,1,PROD-001,2,12.9,25.6
ORD-2026-004945,1,PROD-001,2,12.9,21.91
ORD-2026-004946,1,PROD-001,2,12.9,24.62
ORD-2026-004947,1,PROD-014,1,9.9,6.69
ORD-2026-004947,2,PROD-023,1,7.89,3.61
ORD-2026-004948,1,PROD-001,2,12.9,23.88
ORD-2026-004949,1,PROD-010,1,38.03,30.66
ORD-2026-004950,1,PROD-035,3,10.14,13.69
ORD-2026-004950,2,PROD-034,3,9.01,19.6
ORD-2026-004951,1,PROD-006,1,32.39,27.41
ORD-2026-004952,1,PROD-027,1,21.13,12.31
ORD-2026-004953,1,PROD-006,2,32.39,56.49
ORD-2026-004953,2,PROD-059,1,52.11,38.83
ORD-2026-004954,1,PROD-004,1,20.28,19.22
ORD-2026-004955,1,PROD-005,2,20.28,37.8
ORD-2026-004956,1,PROD-014,1,9.9,9.09
ORD-2026-004956,2,PROD-008,1,9.9,9.29
ORD-2026-004956,3,PROD-007,1,17.18,15.31
ORD-2026-004957,1,PROD-052,1,46.48,35.98
ORD-2026-004958,1,PROD-012,1,18.5,17.93
ORD-2026-004959,1,PROD-001,1,12.9,11.59
ORD-2026-004960,1,PROD-021,1,15.49,14.63
ORD-2026-004961,1,PROD-039,1,8.17,6.63
ORD-2026-004962,1,PROD-035,1,10.14,4.56
ORD-2026-004963,1,PROD-022,1,9.01,6.36
ORD-2026-004964,1,PROD-029,2,24.79,22.31
ORD-2026-004965,1,PROD-007,1,17.18,15.71
ORD-2026-004966,1,PROD-001,2,12.9,19.39
ORD-2026-004967,1,PROD-030,1,49.3,30.23
ORD-2026-004967,2,PROD-014,1,9.9,6.93
ORD-2026-004968,1,PROD-005,2,20.28,18.25
ORD-2026-004968,2,PROD-002,1,11.9,5.35
ORD-2026-004968,3,PROD-014,1,9.9,7.05
ORD-2026-004969,1,PROD-005,2,20.28,26.38
ORD-2026-004970,1,PROD-001,1,12.9,10.32
ORD-2026-004970,2,PROD-004,1,20.28,17.38
ORD-2026-004970,3,PROD-014,3,9.9,27.7
ORD-2026-004971,1,PROD-001,1,12.9,11.2
ORD-2026-004972,1,PROD-020,1,10.14,5.78
ORD-2026-004973,1,PROD-022,1,9.01,7.69
ORD-2026-004974,1,PROD-005,1,20.28,20.04
ORD-2026-004975,1,PROD-015,2,26.76,40.98
ORD-2026-004975,2,PROD-023,2,7.89,8.9
ORD-2026-004975,3,PROD-041,1,11.83,10.89
ORD-2026-004976,1,PROD-019,1,29.58,13.93
ORD-2026-004976,2,PROD-036,1,11.55,7.27
ORD-2026-004977,1,PROD-031,1,53.52,42.38
ORD-2026-004977,2,PROD-022,1,9.01,7.82
ORD-2026-004977,3,PROD-051,1,36.06,32.15
ORD-2026-004978,1,PROD-041,3,11.83,26.52
ORD-2026-004978,2,PROD-034,2,9.01,15.02
ORD-2026-004979,1,PROD-025,2,21.97,28.72
ORD-2026-004979,2,PROD-028,1,17.18,9.25
ORD-2026-004980,1,PROD-041,3,11.83,24.17
ORD-2026-004981,1,PROD-039,1,8.17,3.68
ORD-2026-004982,1,PROD-059,1,52.11,49.51
ORD-2026-004983,1,PROD-002,2,11.9,10.71
ORD-2026-004984,1,PROD-017,2,12.5,22.32
ORD-2026-004984,2,PROD-006,1,32.39,14.58
ORD-2026-004985,1,PROD-005,3,20.28,59.23
ORD-2026-004985,2,PROD-001,1,12.9,12.81
ORD-2026-004986,1,PROD-004,3,20.28,59.67
ORD-2026-004986,2,PROD-003,1,14.37,12.67
ORD-2026-004987,1,PROD-001,3,12.9,34.88
ORD-2026-004988,1,PROD-038,3,7.89,22.69
ORD-2026-004989,1,PROD-011,1,14.9,13.61
ORD-2026-004989,2,PROD-007,1,17.18,16.05
ORD-2026-004990,1,PROD-035,2,10.14,16.55
ORD-2026-004991,1,PROD-023,1,7.89,5.59
ORD-2026-004992,1,PROD-027,1,21.13,19.41
ORD-2026-004993,1,PROD-003,1,14.37,10.38
ORD-2026-004994,1,PROD-042,3,73.24,188.5
ORD-2026-004995,1,PROD-020,1,10.14,9.79
ORD-2026-004995,2,PROD-038,1,7.89,6.6
ORD-2026-004996,1,PROD-010,1,38.03,17.11
ORD-2026-004997,1,PROD-003,3,14.37,19.4
ORD-2026-004998,1,PROD-055,1,74.65,50.6
ORD-2026-004999,1,PROD-004,2,20.28,38.0
ORD-2026-005000,1,PROD-002,2,11.9,22.68
ORD-2026-005000,2,PROD-036,2,11.55,21.28
ORD-2026-005001,1,PROD-027,1,21.13,13.5
ORD-2026-005001,2,PROD-006,1,32.39,17.46
ORD-2026-005002,1,PROD-001,1,12.9,7.84
ORD-2026-005003,1,PROD-007,2,17.18,25.41
ORD-2026-005003,2,PROD-019,2,29.58,56.91
ORD-2026-005003,3,PROD-027,1,21.13,18.53
ORD-2026-005004,1,PROD-028,1,17.18,7.75
ORD-2026-005005,1,PROD-004,1,20.28,16.76
ORD-2026-005006,1,PROD-006,1,32.39,28.55
ORD-2026-005007,1,PROD-001,2,12.9,24.62
ORD-2026-005008,1,PROD-003,2,14.37,28.44
ORD-2026-005009,1,PROD-034,3,9.01,21.36
