OrderID,CustomerID,OrderDate,OrderDiscountPct,BasketItemCount
ORD-2024-020975,CUST-07591,2024-06-27,0.1931,1
ORD-2024-020976,CUST-07592,2024-06-13,0.0375,2
ORD-2024-020977,CUST-07593,2024-06-22,0.0188,3
ORD-2024-020978,CUST-07594,2024-06-30,0.0473,3
ORD-2024-020979,CUST-07595,2024-06-16,0.3024,1
ORD-2024-020980,CUST-07596,2024-06-14,0.4966,2
ORD-2024-020981,CUST-07597,2024-06-15,0.4403,1
ORD-2024-020982,CUST-07598,2024-06-30,0.2242,3
ORD-2024-020983,CUST-07599,2024-06-29,0.0361,1
ORD-2024-020984,CUST-07600,2024-06-27,0.0786,1
ORD-2024-020985,CUST-07601,2024-06-12,0.1941,1
ORD-2024-020986,CUST-07602,2024-06-29,0.234,1
ORD-2024-020987,CUST-07603,2024-06-30,0.1199,1
ORD-2024-020988,CUST-07604,2024-06-10,0.2809,1
ORD-2024-020989,CUST-07605,2024-06-28,0.1994,2
ORD-2024-020990,CUST-07606,2024-06-30,0.2969,1
ORD-2024-020991,CUST-07607,2024-06-19,0.3961,1
ORD-2024-020992,CUST-07608,2024-06-25,0.3509,1
ORD-2024-020993,CUST-07609,2024-06-30,0.3585,2
ORD-2024-020994,CUST-07610,2024-06-17,0.1288,3
ORD-2024-020995,CUST-07611,2024-06-30,0.4843,2
ORD-2024-020996,CUST-07612,2024-06-23,0.0272,1
ORD-2024-020997,CUST-07613,2024-06-30,0.2299,3
ORD-2024-020998,CUST-07614,2024-06-14,0.3181,2
ORD-2024-020999,CUST-07615,2024-06-24,0.0017,1
ORD-2024-021000,CUST-07616,2024-06-30,0.031,1
ORD-2024-021001,CUST-07617,2024-06-20,0.1178,3
ORD-2024-021002,CUST-07618,2024-06-20,0.1329,1
ORD-2024-021003,CUST-07619,2024-06-22,0.0417,2
ORD-2024-021004,CUST-07620,2024-06-22,0.2724,2
ORD-2024-021005,CUST-07621,2024-06-13,0.3836,3
ORD-2024-021006,CUST-07622,2024-06-29,0.1353,1
ORD-2024-021007,CUST-07623,2024-06-30,0.1256,1
ORD-2024-021008,CUST-07624,2024-06-28,0.2231,1
ORD-2024-021009,CUST-07625,2024-06-26,0.0283,3
ORD-2024-021010,CUST-07626,2024-06-28,0.0198,1
ORD-2024-021011,CUST-07627,2024-06-28,0.1211,4
ORD-2024-021012,CUST-07628,2024-06-30,0.3995,2
ORD-2024-021013,CUST-07629,2024-06-29,0.5286,2
ORD-2024-021014,CUST-07630,2024-06-25,0.1329,1
ORD-2024-021015,CUST-07631,2024-06-29,0.3986,1
ORD-2024-021016,CUST-07632,2024-06-30,0.4661,2
ORD-2024-021017,CUST-07633,2024-06-28,0.55,1
ORD-2024-021018,CUST-07634,2024-06-30,0.1176,2
ORD-2024-021019,CUST-07635,2024-06-10,0.391,3
ORD-2024-021020,CUST-07636,2024-06-09,0.55,1
ORD-2024-021021,CUST-07637,2024-06-08,0.0363,2
ORD-2024-021022,CUST-07638,2024-06-10,0.1511,1
ORD-2024-021023,CUST-07639,2024-06-29,0.162,5
ORD-2024-021024,CUST-07640,2024-06-24,0.0194,3
ORD-2024-021025,CUST-07641,2024-06-24,0.0399,1
ORD-2024-021026,CUST-07642,2024-06-28,0.0195,1
ORD-2024-021027,CUST-07643,2024-06-12,0.3738,1
ORD-2024-021028,CUST-07644,2024-06-03,0.1282,1
ORD-2024-021029,CUST-07645,2024-06-19,0.55,1
ORD-2024-021030,CUST-07646,2024-06-26,0.0668,2
ORD-2024-021031,CUST-07647,2024-06-28,0.2545,2
ORD-2024-021032,CUST-07648,2024-06-30,0.0144,1
ORD-2024-021033,CUST-07649,2024-06-11,0.0761,1
ORD-2024-021034,CUST-07650,2024-06-10,0.06,1
ORD-2024-021035,CUST-07651,2024-06-29,0.1569,1
ORD-2024-021036,CUST-07652,2024-06-30,0.5147,1
ORD-2024-021037,CUST-07653,2024-06-17,0.55,1
ORD-2024-021038,CUST-07654,2024-06-18,0.1645,2
ORD-2024-021039,CUST-07655,2024-06-30,0.1855,1
ORD-2024-021040,CUST-07656,2024-06-26,0.0446,2
ORD-2024-021041,CUST-07657,2024-06-29,0.1905,3
ORD-2024-021042,CUST-07658,2024-06-25,0.0362,1
ORD-2024-021043,CUST-07659,2024-06-26,0.0583,1
ORD-2024-021044,CUST-07660,2024-06-23,0.1681,1
ORD-2024-021045,CUST-07661,2024-06-17,0.2265,1
ORD-2024-021046,CUST-07662,2024-06-30,0.3619,1
ORD-2024-021047,CUST-07663,2024-06-15,0.0657,1
ORD-2024-021048,CUST-07664,2024-06-26,0.3976,2
ORD-2024-021049,CUST-07665,2024-06-28,0.3999,1
ORD-2024-021050,CUST-07666,2024-06-19,0.055,4
ORD-2024-021051,CUST-07667,2024-06-28,0.0221,1
ORD-2024-021052,CUST-07668,2024-06-19,0.2126,1
ORD-2024-021053,CUST-07669,2024-06-27,0.1648,1
ORD-2024-021054,CUST-07670,2024-06-27,0.1669,1
ORD-2024-021055,CUST-07671,2024-06-23,0.0886,1
ORD-2024-021056,CUST-07672,2024-06-20,0.4188,1
ORD-2024-021057,CUST-07673,2024-06-23,0.3049,2
ORD-2024-021058,CUST-07674,2024-06-27,0.0715,1
ORD-2024-021059,CUST-07675,2024-06-08,0.5199,2
ORD-2024-021060,CUST-07676,2024-06-29,0.0759,1
ORD-2024-021061,CUST-07677,2024-06-28,0.2322,1
