OrderID,CustomerID,OrderDate,OrderDiscountPct,BasketItemCount
ORD-2023-001247,CUST-00520,2023-02-25,0.1907,1
ORD-2023-001248,CUST-00521,2023-02-14,0.1622,2
ORD-2023-001249,CUST-00522,2023-02-16,0.1735,1
ORD-2023-001250,CUST-00523,2023-02-25,0.55,1
ORD-2023-001251,CUST-00524,2023-02-27,0.1275,2
ORD-2023-001252,CUST-00525,2023-02-27,0.1781,1
ORD-2023-001253,CUST-00526,2023-02-16,0.3581,1
ORD-2023-001254,CUST-00527,2023-02-26,0.3894,1
ORD-2023-001255,CUST-00528,2023-02-22,0.1978,1
ORD-2023-001256,CUST-00529,2023-02-13,0.0385,1
ORD-2023-001257,CUST-00530,2023-02-28,0.3841,1
ORD-2023-001258,CUST-00531,2023-02-25,0.0073,3
ORD-2023-001259,CUST-00532,2023-02-27,0.3918,1
ORD-2023-001260,CUST-00533,2023-02-26,0.0229,1
ORD-2023-001261,CUST-00534,2023-02-21,0.4161,1
ORD-2023-001262,CUST-00535,2023-02-28,0.1263,3
ORD-2023-001263,CUST-00536,2023-02-21,0.0974,1
ORD-2023-001264,CUST-00537,2023-02-28,0.2104,2
ORD-2023-001265,CUST-00538,2023-02-21,0.0691,1
ORD-2023-001266,CUST-00539,2023-02-19,0.203,1
ORD-2023-001267,CUST-00540,2023-02-24,0.1663,2
ORD-2023-001268,CUST-00541,2023-02-23,0.3536,1
ORD-2023-001269,CUST-00542,2023-02-26,0.2664,2
ORD-2023-001270,CUST-00543,2023-02-24,0.1485,2
ORD-2023-001271,CUST-00544,2023-02-24,0.385,3
ORD-2023-001272,CUST-00545,2023-02-24,0.1569,2
ORD-2023-001273,CUST-00546,2023-02-10,0.4374,1
ORD-2023-001274,CUST-00547,2023-02-16,0.3701,1
ORD-2023-001275,CUST-00548,2023-02-28,0.1374,2
ORD-2023-001276,CUST-00549,2023-02-08,0.1262,1
ORD-2023-001277,CUST-00550,2023-02-20,0.1673,2
ORD-2023-001278,CUST-00551,2023-02-18,0.0421,1
ORD-2023-001279,CUST-00552,2023-02-21,0.3139,1
ORD-2023-001280,CUST-00553,2023-02-16,0.3923,2
ORD-2023-001281,CUST-00554,2023-02-28,0.0274,1
ORD-2023-001282,CUST-00555,2023-02-22,0.4277,1
